# table	grantee	privileges
customers	app_user	DELETE,INSERT,SELECT,UPDATE
customers	authenticated	REFERENCES,TRIGGER,TRUNCATE
customers	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
customers	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_assets	anon	REFERENCES,TRIGGER,TRUNCATE
employee_assets	app_user	DELETE,INSERT,SELECT,UPDATE
employee_assets	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_assets	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_assets	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_bank_accounts	anon	REFERENCES,TRIGGER,TRUNCATE
employee_bank_accounts	app_user	DELETE,INSERT,SELECT,UPDATE
employee_bank_accounts	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_bank_accounts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_bank_accounts	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_certifications	anon	REFERENCES,TRIGGER,TRUNCATE
employee_certifications	app_user	DELETE,INSERT,SELECT,UPDATE
employee_certifications	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_certifications	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_certifications	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_group_members	anon	REFERENCES,TRIGGER,TRUNCATE
employee_group_members	app_user	DELETE,INSERT,SELECT,UPDATE
employee_group_members	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_group_members	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_group_members	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_group_roles	anon	REFERENCES,TRIGGER,TRUNCATE
employee_group_roles	app_user	DELETE,INSERT,SELECT,UPDATE
employee_group_roles	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_group_roles	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_group_roles	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_training_records	anon	REFERENCES,TRIGGER,TRUNCATE
employee_training_records	app_user	DELETE,INSERT,SELECT,UPDATE
employee_training_records	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_training_records	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_training_records	service_role	REFERENCES,TRIGGER,TRUNCATE
employee_user_groups	anon	REFERENCES,TRIGGER,TRUNCATE
employee_user_groups	app_user	DELETE,INSERT,SELECT,UPDATE
employee_user_groups	authenticated	REFERENCES,TRIGGER,TRUNCATE
employee_user_groups	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_user_groups	service_role	REFERENCES,TRIGGER,TRUNCATE
employees	anon	REFERENCES,TRIGGER,TRUNCATE
employees	app_user	DELETE,INSERT,SELECT,UPDATE
employees	authenticated	REFERENCES,TRIGGER,TRUNCATE
employees	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employees	service_role	REFERENCES,TRIGGER,TRUNCATE
employment_terms	anon	REFERENCES,TRIGGER,TRUNCATE
employment_terms	app_user	DELETE,INSERT,SELECT,UPDATE
employment_terms	authenticated	REFERENCES,TRIGGER,TRUNCATE
employment_terms	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employment_terms	service_role	REFERENCES,TRIGGER,TRUNCATE
exchange_rates	anon	REFERENCES,TRIGGER,TRUNCATE
exchange_rates	app_user	DELETE,INSERT,SELECT,UPDATE
exchange_rates	authenticated	REFERENCES,TRIGGER,TRUNCATE
exchange_rates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
exchange_rates	service_role	REFERENCES,TRIGGER,TRUNCATE
expenses	anon	REFERENCES,TRIGGER,TRUNCATE
expenses	app_user	DELETE,INSERT,SELECT,UPDATE
expenses	authenticated	REFERENCES,TRIGGER,TRUNCATE
expenses	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
expenses	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_benefit_items	anon	REFERENCES,TRIGGER,TRUNCATE
firm_benefit_items	app_user	DELETE,INSERT,SELECT,UPDATE
firm_benefit_items	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_benefit_items	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_benefit_items	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_benefits_packages	anon	REFERENCES,TRIGGER,TRUNCATE
firm_benefits_packages	app_user	DELETE,INSERT,SELECT,UPDATE
firm_benefits_packages	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_benefits_packages	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_benefits_packages	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_benefits_plans	anon	REFERENCES,TRIGGER,TRUNCATE
firm_benefits_plans	app_user	DELETE,INSERT,SELECT,UPDATE
firm_benefits_plans	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_benefits_plans	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_benefits_plans	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_departments	anon	REFERENCES,TRIGGER,TRUNCATE
firm_departments	app_user	DELETE,INSERT,SELECT,UPDATE
firm_departments	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_departments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_departments	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_holidays	anon	REFERENCES,TRIGGER,TRUNCATE
firm_holidays	app_user	DELETE,INSERT,SELECT,UPDATE
firm_holidays	authenticated	REFERENCES,TRIGGER,TRUNCATE
