# table	constraint	type	definition
compensation_variable	compensation_variable_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
compensation_variable	compensation_variable_tenant_id_variable_comp_id_key	u	UNIQUE (tenant_id, variable_comp_id)
compensation_variable	fk_compensation_variable_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
compensation_work_schedules	compensation_work_schedules_pkey	p	PRIMARY KEY (id)
compensation_work_schedules	compensation_work_schedules_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
compensation_work_schedules	compensation_work_schedules_tenant_id_schedule_id_key	u	UNIQUE (tenant_id, schedule_id)
compensation_work_schedules	fk_compensation_work_schedules_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
cross_module_links	cross_module_links_pkey	p	PRIMARY KEY (id)
cross_module_links	cross_module_links_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
custom_field_definitions	custom_field_definitions_data_type_check	c	CHECK ((data_type = ANY (ARRAY['text'::text, 'number'::text, 'date'::text, 'boolean'::text, 'select'::text, 'multiselect'::text])))
custom_field_definitions	custom_field_definitions_pkey	p	PRIMARY KEY (id)
custom_field_definitions	custom_field_definitions_tenant_id_entity_type_field_key_key	u	UNIQUE (tenant_id, entity_type, field_key)
custom_field_definitions	custom_field_definitions_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
customer_contacts	customer_contacts_customer_id_fkey	f	FOREIGN KEY (customer_id) REFERENCES customers(id)
customer_contacts	customer_contacts_pkey	p	PRIMARY KEY (id)
customer_contacts	customer_contacts_tenant_id_email_key	u	UNIQUE (tenant_id, email)
customer_contacts	customer_contacts_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
customers	customers_pkey	p	PRIMARY KEY (id)
customers	customers_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
customers	fk_customers_ar_account_id	f	FOREIGN KEY (ar_account_id) REFERENCES chart_of_accounts(id)
customers	fk_customers_tax_rate_id	f	FOREIGN KEY (tax_rate_id) REFERENCES payroll_tax_rates(id)
employee_assets	employee_assets_pkey	p	PRIMARY KEY (id)
employee_assets	employee_assets_tenant_id_asset_id_key	u	UNIQUE (tenant_id, asset_id)
employee_assets	employee_assets_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_assets	fk_employee_assets_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
employee_bank_accounts	employee_bank_accounts_account_type_check	c	CHECK ((account_type = ANY (ARRAY['checking'::text, 'savings'::text, 'paycard'::text])))
employee_bank_accounts	employee_bank_accounts_allocation_type_check	c	CHECK ((allocation_type = ANY (ARRAY['remainder'::text, 'percentage'::text, 'fixed_amount'::text])))
employee_bank_accounts	employee_bank_accounts_check	c	CHECK (((allocation_type = 'remainder'::text) OR (allocation_value IS NOT NULL)))
employee_bank_accounts	employee_bank_accounts_check1	c	CHECK (((effective_to IS NULL) OR (effective_to >= effective_from)))
employee_bank_accounts	employee_bank_accounts_pkey	p	PRIMARY KEY (id)
employee_bank_accounts	employee_bank_accounts_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_bank_accounts	employee_bank_accounts_verification_status_check	c	CHECK ((verification_status = ANY (ARRAY['unverified'::text, 'prenote_sent'::text, 'verified'::text, 'failed'::text])))
employee_bank_accounts	fk_eba_employee	f	FOREIGN KEY (employee_id) REFERENCES employees(id) ON DELETE CASCADE
employee_certifications	employee_certifications_pkey	p	PRIMARY KEY (id)
employee_certifications	employee_certifications_tenant_id_certification_id_key	u	UNIQUE (tenant_id, certification_id)
employee_certifications	employee_certifications_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_certifications	fk_employee_certifications_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
employee_group_members	employee_group_members_pkey	p	PRIMARY KEY (id)
employee_group_members	employee_group_members_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_group_members	fk_employee_group_members_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
employee_group_roles	employee_group_roles_pkey	p	PRIMARY KEY (id)
employee_group_roles	employee_group_roles_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_group_roles	employee_group_roles_tenant_id_group_role_id_key	u	UNIQUE (tenant_id, group_role_id)
employee_training_records	employee_training_records_pkey	p	PRIMARY KEY (id)
employee_training_records	employee_training_records_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_training_records	employee_training_records_tenant_id_training_record_id_key	u	UNIQUE (tenant_id, training_record_id)
employee_training_records	fk_employee_training_records_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
employee_user_groups	employee_user_groups_pkey	p	PRIMARY KEY (id)
employee_user_groups	employee_user_groups_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employee_user_groups	employee_user_groups_tenant_id_group_name_key	u	UNIQUE (tenant_id, group_name)
employees	employees_pkey	p	PRIMARY KEY (id)
