# table	constraint	type	definition
jobs	jobs_status_check	c	CHECK ((status = ANY (ARRAY['pending'::text, 'running'::text, 'succeeded'::text, 'failed'::text, 'cancelled'::text])))
jobs	jobs_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
journal_entries	journal_entries_pkey	p	PRIMARY KEY (id)
journal_entries	journal_entries_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
journal_entry_lines	ck_journal_entry_lines_one_sided_positive	c	CHECK (((debit_amount >= (0)::numeric) AND (credit_amount >= (0)::numeric) AND (base_debit_amount >= (0)::numeric) AND (base_credit_amount >= (0)::numeric) AND (((debit_amount > (0)::numeric) AND (credit_amount = (0)::numeric)) OR ((credit_amount > (0)::numeric) AND (debit_amount = (0)::numeric))) AND (((base_debit_amount > (0)::numeric) AND (base_credit_amount = (0)::numeric)) OR ((base_credit_amount > (0)::numeric) AND (base_debit_amount = (0)::numeric)))))
journal_entry_lines	fk_journal_entry_lines_account_id	f	FOREIGN KEY (account_id) REFERENCES chart_of_accounts(id)
journal_entry_lines	fk_journal_entry_lines_department_id	f	FOREIGN KEY (department_id) REFERENCES firm_departments(id)
journal_entry_lines	fk_journal_entry_lines_entry_id	f	FOREIGN KEY (entry_id) REFERENCES journal_entries(id) ON DELETE CASCADE
journal_entry_lines	fk_journal_entry_lines_location_id	f	FOREIGN KEY (location_id) REFERENCES firm_locations(id)
journal_entry_lines	fk_journal_entry_lines_tax_rate_id	f	FOREIGN KEY (tax_rate_id) REFERENCES payroll_tax_rates(id)
journal_entry_lines	journal_entry_lines_pkey	p	PRIMARY KEY (id)
journal_entry_lines	journal_entry_lines_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
payment_allocations	ck_payment_allocations_one_document	c	CHECK (((amount > (0)::numeric) AND (base_amount > (0)::numeric) AND ((((invoice_id IS NOT NULL))::integer + ((bill_id IS NOT NULL))::integer) = 1)))
payment_allocations	fk_payment_allocations_bill_id	f	FOREIGN KEY (bill_id) REFERENCES bills(id)
payment_allocations	fk_payment_allocations_invoice_id	f	FOREIGN KEY (invoice_id) REFERENCES invoices(id)
payment_allocations	fk_payment_allocations_payment_id	f	FOREIGN KEY (payment_id) REFERENCES payments(id) ON DELETE CASCADE
payment_allocations	payment_allocations_pkey	p	PRIMARY KEY (id)
payment_allocations	payment_allocations_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
payments	ck_payments_positive_amounts	c	CHECK (((amount > (0)::numeric) AND (base_amount > (0)::numeric) AND (gateway_fee >= (0)::numeric)))
payments	fk_payments_bank_account_id	f	FOREIGN KEY (bank_account_id) REFERENCES bank_accounts(id)
payments	fk_payments_customer_id	f	FOREIGN KEY (customer_id) REFERENCES customers(id)
payments	fk_payments_journal_entry_id	f	FOREIGN KEY (journal_entry_id) REFERENCES journal_entries(id)
payments	fk_payments_vendor_id	f	FOREIGN KEY (vendor_id) REFERENCES vendors(id)
payments	payments_pkey	p	PRIMARY KEY (id)
payments	payments_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
payroll_deduction_definitions	payroll_deduction_definitions_pkey	p	PRIMARY KEY (id)
payroll_deduction_definitions	payroll_deduction_definitions_tenant_id_deduction_def_id_key	u	UNIQUE (tenant_id, deduction_def_id)
payroll_deduction_definitions	payroll_deduction_definitions_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_employee_deductions	fk_payroll_employee_deductions_deduction_id	f	FOREIGN KEY (deduction_id) REFERENCES payroll_deduction_definitions(id)
payroll_employee_deductions	fk_payroll_employee_deductions_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
payroll_employee_deductions	payroll_employee_deductions_pkey	p	PRIMARY KEY (id)
payroll_employee_deductions	payroll_employee_deductions_tenant_id_employee_deduction_id_key	u	UNIQUE (tenant_id, employee_deduction_id)
payroll_employee_deductions	payroll_employee_deductions_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_india_salary_structure	fk_payroll_india_salary_structure_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
payroll_india_salary_structure	payroll_india_salary_structure_pkey	p	PRIMARY KEY (id)
payroll_india_salary_structure	payroll_india_salary_structure_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_india_tax_declarations	fk_payroll_india_tax_declarations_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
payroll_india_tax_declarations	payroll_india_tax_declarations_pkey	p	PRIMARY KEY (id)
payroll_india_tax_declarations	payroll_india_tax_declarations_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_pay_schedules	payroll_pay_schedules_frequency_check	c	CHECK (((frequency)::text = ANY ((ARRAY['weekly'::character varying, 'bi-weekly'::character varying, 'semi-monthly'::character varying, 'monthly'::character varying])::text[])))
payroll_pay_schedules	payroll_pay_schedules_holiday_adjustment_check	c	CHECK ((holiday_adjustment = ANY (ARRAY['before'::text, 'after'::text])))
payroll_pay_schedules	payroll_pay_schedules_pay_day_of_month_check	c	CHECK ((((pay_day_of_month >= 1) AND (pay_day_of_month <= 31)) OR (pay_day_of_month = '-1'::integer)))
payroll_pay_schedules	payroll_pay_schedules_pay_day_of_week_check	c	CHECK ((pay_day_of_week = ANY (ARRAY['monday'::text, 'tuesday'::text, 'wednesday'::text, 'thursday'::text, 'friday'::text, 'saturday'::text, 'sunday'::text])))
payroll_pay_schedules	payroll_pay_schedules_pkey	p	PRIMARY KEY (id)
payroll_pay_schedules	payroll_pay_schedules_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
payroll_run_employees	fk_payroll_run_employees_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
payroll_run_employees	fk_payroll_run_employees_payroll_run_id	f	FOREIGN KEY (payroll_run_id) REFERENCES payroll_runs(id) ON DELETE CASCADE
payroll_run_employees	payroll_run_employees_pkey	p	PRIMARY KEY (id)
payroll_run_employees	payroll_run_employees_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_run_employees	payroll_run_employees_tenant_id_run_employee_id_key	u	UNIQUE (tenant_id, run_employee_id)
payroll_runs	fk_payroll_runs_pay_schedule_id	f	FOREIGN KEY (pay_schedule_id) REFERENCES payroll_pay_schedules(id)
payroll_runs	payroll_runs_calculator_is_not_approver	c	CHECK (((calculated_by IS NULL) OR (approved_by IS NULL) OR (calculated_by <> approved_by)))
payroll_runs	payroll_runs_pkey	p	PRIMARY KEY (id)
payroll_runs	payroll_runs_stages_have_timestamps	c	CHECK (((((run_status)::text <> 'calculated'::text) OR (calculated_at IS NOT NULL)) AND (((run_status)::text <> ALL ((ARRAY['approved'::character varying, 'finalized'::character varying, 'paid'::character varying])::text[])) OR ((calculated_at IS NOT NULL) AND (approved_at IS NOT NULL))) AND (((run_status)::text <> ALL ((ARRAY['finalized'::character varying, 'paid'::character varying])::text[])) OR (finalized_at IS NOT NULL))))
payroll_runs	payroll_runs_status_columns_agree	c	CHECK ((status = (run_status)::text))
payroll_runs	payroll_runs_status_is_known	c	CHECK (((run_status)::text = ANY ((ARRAY['draft'::character varying, 'calculating'::character varying, 'calculated'::character varying, 'approved'::character varying, 'finalized'::character varying, 'paid'::character varying, 'cancelled'::character varying])::text[])))
payroll_runs	payroll_runs_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_runs	payroll_runs_tenant_id_run_id_key	u	UNIQUE (tenant_id, run_id)
payroll_tax_deposits	payroll_tax_deposits_pkey	p	PRIMARY KEY (id)
payroll_tax_deposits	payroll_tax_deposits_tenant_id_deposit_id_key	u	UNIQUE (tenant_id, deposit_id)
payroll_tax_deposits	payroll_tax_deposits_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
payroll_tax_rates	fk_payroll_tax_rates_tax_collected_account_id	f	FOREIGN KEY (tax_collected_account_id) REFERENCES chart_of_accounts(id)
payroll_tax_rates	fk_payroll_tax_rates_tax_paid_account_id	f	FOREIGN KEY (tax_paid_account_id) REFERENCES chart_of_accounts(id)
payroll_tax_rates	payroll_tax_rates_pkey	p	PRIMARY KEY (id)
payroll_tax_rates	payroll_tax_rates_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
payroll_tax_rates	payroll_tax_rates_tenant_id_tax_rate_id_key	u	UNIQUE (tenant_id, tax_rate_id)
payroll_tax_withholding_certificates	fk_payroll_tax_withholding_certificates_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
payroll_tax_withholding_certificates	payroll_tax_withholding_certificates_pkey	p	PRIMARY KEY (id)
payroll_tax_withholding_certificates	payroll_tax_withholding_certificates_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
pii_erasures	pii_erasures_pkey	p	PRIMARY KEY (id)
pii_erasures	pii_erasures_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pii_keys	pii_keys_one_per_subject	u	UNIQUE (tenant_id, subject_type, subject_id)
pii_keys	pii_keys_pkey	p	PRIMARY KEY (id)
pii_keys	pii_keys_subject_type_is_known	c	CHECK ((subject_type = ANY (ARRAY['employee'::text, 'tenant'::text])))
pii_keys	pii_keys_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_automation_executions	fk_pm_automation_executions_automation_id	f	FOREIGN KEY (automation_id) REFERENCES pm_automations(id)
pm_automation_executions	pm_automation_executions_pkey	p	PRIMARY KEY (id)
pm_automation_executions	pm_automation_executions_tenant_id_execution_id_key	u	UNIQUE (tenant_id, execution_id)
pm_automation_executions	pm_automation_executions_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_automations	pm_automations_pkey	p	PRIMARY KEY (id)
pm_automations	pm_automations_tenant_id_automation_id_key	u	UNIQUE (tenant_id, automation_id)
pm_automations	pm_automations_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_dashboard_widgets	fk_pm_dashboard_widgets_dashboard_id	f	FOREIGN KEY (dashboard_id) REFERENCES pm_dashboards(id)
pm_dashboard_widgets	pm_dashboard_widgets_pkey	p	PRIMARY KEY (id)
pm_dashboard_widgets	pm_dashboard_widgets_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_dashboard_widgets	pm_dashboard_widgets_tenant_id_widget_id_key	u	UNIQUE (tenant_id, widget_id)
pm_dashboards	pm_dashboards_pkey	p	PRIMARY KEY (id)
pm_dashboards	pm_dashboards_tenant_id_dashboard_id_key	u	UNIQUE (tenant_id, dashboard_id)
pm_dashboards	pm_dashboards_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_objectives	pm_objectives_pkey	p	PRIMARY KEY (id)
pm_objectives	pm_objectives_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_objectives	pm_objectives_tenant_id_objective_id_key	u	UNIQUE (tenant_id, objective_id)
pm_project_templates	pm_project_templates_pkey	p	PRIMARY KEY (id)
pm_project_templates	pm_project_templates_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_project_templates	pm_project_templates_tenant_id_template_id_key	u	UNIQUE (tenant_id, template_id)
pm_task_attachments	fk_pm_task_attachments_task_id	f	FOREIGN KEY (task_id) REFERENCES tasks(id)
pm_task_attachments	pm_task_attachments_pkey	p	PRIMARY KEY (id)
pm_task_attachments	pm_task_attachments_tenant_id_attachment_id_key	u	UNIQUE (tenant_id, attachment_id)
pm_task_attachments	pm_task_attachments_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
pm_task_comments	fk_pm_task_comments_task_id	f	FOREIGN KEY (task_id) REFERENCES tasks(id)
pm_task_comments	pm_task_comments_pkey	p	PRIMARY KEY (id)
pm_task_comments	pm_task_comments_tenant_id_comment_id_key	u	UNIQUE (tenant_id, comment_id)
pm_task_comments	pm_task_comments_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
projects	projects_pkey	p	PRIMARY KEY (id)
projects	projects_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
projects	projects_tenant_id_project_id_key	u	UNIQUE (tenant_id, project_id)
tasks	tasks_pkey	p	PRIMARY KEY (id)
tasks	tasks_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
tasks	tasks_tenant_id_task_id_key	u	UNIQUE (tenant_id, task_id)
tenant_settings	tenant_settings_pkey	p	PRIMARY KEY (tenant_id, namespace, key)
tenant_settings	tenant_settings_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
tenant_users	ck_tenant_users_one_identity	c	CHECK ((num_nonnulls(employee_id, customer_contact_id) = 1))
tenant_users	tenant_users_auditor_writes_nothing	c	CHECK ((NOT ((functional_roles @> ARRAY['auditor'::text]) AND ((array_length(functional_roles, 1) > 1) OR (role = ANY (ARRAY['owner'::text, 'firm_admin'::text]))))))
tenant_users	tenant_users_customer_contact_id_fkey	f	FOREIGN KEY (customer_contact_id) REFERENCES customer_contacts(id)
tenant_users	tenant_users_functional_roles_are_known	c	CHECK ((functional_roles <@ ARRAY['hr_admin'::text, 'payroll_admin'::text, 'finance_admin'::text, 'sales_admin'::text, 'marketing_admin'::text, 'it_admin'::text, 'legal_admin'::text, 'project_manager'::text, 'auditor'::text]))
tenant_users	tenant_users_pay_setter_is_not_pay_approver	c	CHECK ((NOT ((functional_roles @> ARRAY['hr_admin'::text]) AND (functional_roles @> ARRAY['payroll_admin'::text]))))
tenant_users	tenant_users_pkey	p	PRIMARY KEY (id)
tenant_users	tenant_users_role_is_a_base_role	c	CHECK ((role = ANY (ARRAY['owner'::text, 'firm_admin'::text, 'employee'::text, 'contractor'::text, 'customer'::text])))
tenant_users	tenant_users_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
tenant_users	tenant_users_tenant_id_user_id_key	u	UNIQUE (tenant_id, user_id)
tenants	tenants_company_size_check	c	CHECK ((company_size = ANY (ARRAY['1-10'::text, '11-50'::text, '51-200'::text, '201-500'::text, '501+'::text])))
tenants	tenants_pkey	p	PRIMARY KEY (id)
tenants	tenants_subdomain_key	u	UNIQUE (subdomain)
ticketing_attachments	fk_ticketing_attachments_ticket_id	f	FOREIGN KEY (ticket_id) REFERENCES ticketing_tickets(id)
ticketing_attachments	ticketing_attachments_pkey	p	PRIMARY KEY (id)
ticketing_attachments	ticketing_attachments_tenant_id_attachment_id_key	u	UNIQUE (tenant_id, attachment_id)
ticketing_attachments	ticketing_attachments_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
ticketing_business_areas	ticketing_business_areas_pkey	p	PRIMARY KEY (id)
ticketing_business_areas	ticketing_business_areas_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
ticketing_business_areas	ticketing_business_areas_tenant_id_prefix_key	u	UNIQUE (tenant_id, prefix)
ticketing_tickets	ck_ticketing_tickets_one_logger	c	CHECK ((num_nonnulls(logger_employee_id, logger_contact_id) = 1))
ticketing_tickets	ticketing_tickets_customer_id_fkey	f	FOREIGN KEY (customer_id) REFERENCES customers(id)
ticketing_tickets	ticketing_tickets_logger_contact_id_fkey	f	FOREIGN KEY (logger_contact_id) REFERENCES customer_contacts(id)
ticketing_tickets	ticketing_tickets_pkey	p	PRIMARY KEY (id)
ticketing_tickets	ticketing_tickets_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
ticketing_tickets	ticketing_tickets_tenant_id_ticket_number_key	u	UNIQUE (tenant_id, ticket_number)
ticketing_updates	ck_ticketing_updates_one_author	c	CHECK ((num_nonnulls(author_employee_id, author_contact_id) = 1))
ticketing_updates	fk_ticketing_updates_ticket_id	f	FOREIGN KEY (ticket_id) REFERENCES ticketing_tickets(id)
ticketing_updates	ticketing_updates_author_contact_id_fkey	f	FOREIGN KEY (author_contact_id) REFERENCES customer_contacts(id)
ticketing_updates	ticketing_updates_pkey	p	PRIMARY KEY (id)
ticketing_updates	ticketing_updates_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
ticketing_updates	ticketing_updates_tenant_id_update_id_key	u	UNIQUE (tenant_id, update_id)
time_tracking_billable_expenses	time_tracking_billable_expenses_pkey	p	PRIMARY KEY (id)
time_tracking_billable_expenses	time_tracking_billable_expenses_tenant_id_expense_id_key	u	UNIQUE (tenant_id, expense_id)
time_tracking_billable_expenses	time_tracking_billable_expenses_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
time_tracking_entries	time_tracking_entries_pkey	p	PRIMARY KEY (id)
time_tracking_entries	time_tracking_entries_tenant_id_entry_id_key	u	UNIQUE (tenant_id, entry_id)
time_tracking_entries	time_tracking_entries_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
time_tracking_hourly_rates	time_tracking_hourly_rates_check	c	CHECK (((effective_to IS NULL) OR (effective_to >= effective_from)))
time_tracking_hourly_rates	time_tracking_hourly_rates_pkey	p	PRIMARY KEY (id)
time_tracking_hourly_rates	time_tracking_hourly_rates_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
time_tracking_timesheets	time_tracking_timesheets_pkey	p	PRIMARY KEY (id)
time_tracking_timesheets	time_tracking_timesheets_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
time_tracking_timesheets	time_tracking_timesheets_tenant_id_id_key	u	UNIQUE (tenant_id, id)
translations	translations_pkey	p	PRIMARY KEY (id)
translations	translations_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
translations	translations_tenant_id_locale_namespace_key_key	u	UNIQUE (tenant_id, locale, namespace, key)
vendors	fk_vendors_ap_account_id	f	FOREIGN KEY (ap_account_id) REFERENCES chart_of_accounts(id)
vendors	vendors_pkey	p	PRIMARY KEY (id)
vendors	vendors_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
