# table	policy	command	roles	using	with_check
hr_employee_documents	pii_delete	DELETE	public	( SELECT app.writes_pii() AS writes_pii)	
hr_employee_documents	pii_insert	INSERT	public		( SELECT app.writes_pii() AS writes_pii)
hr_employee_documents	pii_update	UPDATE	public	( SELECT app.writes_pii() AS writes_pii)	( SELECT app.writes_pii() AS writes_pii)
hr_employee_documents	pii_visibility	SELECT	public	(( SELECT app.reads_all_pii() AS reads_all_pii) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
hr_employee_documents	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_employment_history	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
hr_employment_history	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
hr_employment_history	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
hr_employment_history	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
hr_employment_history	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_feedback	feedback_delete	DELETE	public	( SELECT app.writes_performance() AS writes_performance)	
hr_feedback	feedback_insert	INSERT	public		( SELECT app.writes_performance() AS writes_performance)
hr_feedback	feedback_update	UPDATE	public	( SELECT app.writes_performance() AS writes_performance)	( SELECT app.writes_performance() AS writes_performance)
hr_feedback	feedback_visibility	SELECT	public	(( SELECT app.reads_all_performance() AS reads_all_performance) OR (visibility = 'public'::text) OR (to_employee_id = ( SELECT app.current_employee_id() AS current_employee_id)) OR (from_employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
hr_feedback	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_goals	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_onboarding_tasks	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_onboarding_template_tasks	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_onboarding_templates	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_review_cycles	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_reviews	performance_visibility	SELECT	public	(( SELECT app.reads_all_performance() AS reads_all_performance) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)) OR (reviewer_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
hr_reviews	reviews_delete	DELETE	public	( SELECT app.writes_performance() AS writes_performance)	
hr_reviews	reviews_insert	INSERT	public		( SELECT app.writes_performance() AS writes_performance)
hr_reviews	reviews_update	UPDATE	public	(( SELECT app.writes_performance() AS writes_performance) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	(( SELECT app.writes_performance() AS writes_performance) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))
hr_reviews	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_survey_responses	survey_delete	DELETE	public	( SELECT app.writes_performance() AS writes_performance)	
hr_survey_responses	survey_insert	INSERT	public		( SELECT app.writes_performance() AS writes_performance)
hr_survey_responses	survey_update	UPDATE	public	( SELECT app.writes_performance() AS writes_performance)	( SELECT app.writes_performance() AS writes_performance)
hr_survey_responses	survey_visibility	SELECT	public	(( SELECT app.reads_all_performance() AS reads_all_performance) OR (respondent_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
hr_survey_responses	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_surveys	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_time_off_balances	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_time_off_policies	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
hr_time_off_requests	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
invoice_lines	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
invoice_lines	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
invoice_lines	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
invoice_lines	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
invoice_lines	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
invoices	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
invoices	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
invoices	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
invoices	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
invoices	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
jobs	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
