# table	pos	column	type	not_null	default
bills	5	reference	character varying(100)	f	
bills	6	bill_date	date	t	
bills	7	due_date	date	t	
bills	8	currency	character varying(3)	t	
bills	9	exchange_rate	numeric(12,6)	f	1.0
bills	10	base_currency	character varying(3)	t	
bills	11	subtotal	numeric(15,2)	t	
bills	12	tax_total	numeric(15,2)	f	0
bills	13	total	numeric(15,2)	t	
bills	14	amount_paid	numeric(15,2)	f	0
bills	15	amount_due	numeric(15,2)	t	
bills	16	base_subtotal	numeric(15,2)	t	
bills	17	base_tax_total	numeric(15,2)	f	0
bills	18	base_total	numeric(15,2)	t	
bills	19	base_amount_paid	numeric(15,2)	f	0
bills	20	base_amount_due	numeric(15,2)	t	
bills	21	status	character varying(50)	f	'draft'::character varying
bills	22	requires_approval	boolean	f	true
bills	23	approved_by	uuid	f	
bills	24	approved_at	timestamp with time zone	f	
bills	25	payment_terms	character varying(50)	f	
bills	26	notes	text	f	
bills	27	file_url	text	f	
bills	28	ocr_processed	boolean	f	false
bills	29	ocr_data	jsonb	f	
bills	30	tracking_categories	jsonb	f	
bills	31	payment_scheduled_date	date	f	
bills	32	journal_entry_id	uuid	f	
bills	33	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bills	34	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bills	35	created_by	uuid	f	
bills	36	updated_by	uuid	f	
chart_of_accounts	1	id	uuid	t	gen_random_uuid()
chart_of_accounts	2	tenant_id	uuid	t	
chart_of_accounts	3	account_code	character varying(50)	t	
chart_of_accounts	4	account_name	character varying(255)	t	
chart_of_accounts	5	account_name_i18n	jsonb	f	
chart_of_accounts	6	account_type	account_type	t	
chart_of_accounts	7	account_subtype	character varying(50)	f	
chart_of_accounts	8	parent_account_id	uuid	f	
chart_of_accounts	9	currency	character varying(3)	f	
chart_of_accounts	10	is_bank_account	boolean	f	false
chart_of_accounts	11	is_active	boolean	f	true
chart_of_accounts	12	enable_payments	boolean	f	false
chart_of_accounts	13	tax_rate_id	uuid	f	
chart_of_accounts	14	description	text	f	
chart_of_accounts	15	description_i18n	jsonb	f	
chart_of_accounts	16	current_balance	numeric(15,2)	f	0
chart_of_accounts	17	current_balance_base	numeric(15,2)	f	0
chart_of_accounts	18	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
chart_of_accounts	19	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
chart_of_accounts	20	created_by	uuid	f	
chart_of_accounts	21	updated_by	uuid	f	
clients	1	id	uuid	t	gen_random_uuid()
clients	2	tenant_id	uuid	t	
clients	3	client_name	text	t	
clients	4	client_code	text	f	
clients	5	legal_entity_name	text	f	
clients	6	client_type	text	f	'corporate'::text
clients	7	industry	text	f	
clients	8	status	text	f	'active'::text
clients	9	is_active	boolean	f	true
clients	10	primary_contact_name	text	f	
clients	11	primary_contact_email	text	f	
clients	12	primary_contact_phone	text	f	
clients	13	primary_contact_title	text	f	
clients	14	billing_contact_name	text	f	
clients	15	billing_contact_email	text	f	
clients	16	billing_contact_phone	text	f	
clients	17	address_line1	text	f	
clients	18	address_line2	text	f	
clients	19	city	text	f	
clients	20	state_province	text	f	
clients	21	postal_code	text	f	
clients	22	country	text	f	'US'::text
clients	23	website	text	f	
clients	24	company_size	text	f	
clients	25	currency	text	f	'USD'::text
clients	26	payment_terms	text	f	'net_30'::text
clients	27	default_hourly_rate	numeric(18,4)	f	
clients	29	portal_access_enabled	boolean	f	false
clients	30	account_manager_id	uuid	f	
clients	31	acquisition_date	date	f	
clients	32	acquisition_source	text	f	
clients	33	custom_fields	jsonb	f	'{}'::jsonb
clients	34	notes	text	f	
clients	35	created_at	timestamp with time zone	t	now()
clients	36	updated_at	timestamp with time zone	t	now()
clients	37	created_by	text	t	
clients	38	version	integer	f	1
clients	39	tax_id_ct	text	f	
compensation_allowances	1	id	uuid	t	gen_random_uuid()
compensation_allowances	2	tenant_id	uuid	t	
compensation_allowances	3	employee_id	uuid	t	
compensation_allowances	4	allowance_type	allowance_type	t	
compensation_allowances	5	allowance_name	character varying(255)	f	
compensation_allowances	6	description	text	f	
compensation_allowances	7	effective_from	date	t	
compensation_allowances	8	effective_to	date	f	
compensation_allowances	9	amount	numeric(12,2)	t	
compensation_allowances	10	currency	character varying(3)	t	'USD'::character varying
compensation_allowances	11	frequency	character varying(50)	f	
compensation_allowances	12	is_taxable	boolean	f	true
compensation_allowances	13	is_reimbursement	boolean	f	false
compensation_allowances	14	requires_receipts	boolean	f	false
compensation_allowances	15	max_reimbursement_per_period	numeric(12,2)	f	
compensation_allowances	16	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_allowances	17	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_allowances	18	created_by	uuid	f	
compensation_allowances	19	allowance_id	text	f	
compensation_allowances	20	eligibility_criteria	text	f	
compensation_allowances	21	status	text	f	
compensation_base	1	id	uuid	t	gen_random_uuid()
compensation_base	2	tenant_id	uuid	t	
compensation_base	3	employee_id	uuid	t	
compensation_base	4	effective_from	date	t	
compensation_base	5	effective_to	date	f	
compensation_base	6	compensation_type	compensation_type	t	
compensation_base	7	amount	numeric(12,2)	t	
compensation_base	8	currency	character varying(3)	t	'USD'::character varying
compensation_base	9	pay_frequency	pay_frequency	f	
compensation_base	10	standard_hours_per_day	numeric(5,2)	f	
compensation_base	11	standard_days_per_week	numeric(4,2)	f	
compensation_base	12	annual_equivalent	numeric(12,2)	f	
compensation_base	13	overtime_eligible	boolean	f	false
compensation_base	14	overtime_rules	jsonb	f	
compensation_base	15	change_reason	change_reason	f	
compensation_base	16	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_base	17	created_by	uuid	f	
compensation_equity	1	id	uuid	t	gen_random_uuid()
compensation_equity	2	tenant_id	uuid	t	
compensation_equity	3	employee_id	uuid	t	
compensation_equity	4	grant_type	equity_type	t	
compensation_equity	5	grant_date	date	t	
compensation_equity	6	grant_number	character varying(50)	f	
compensation_equity	7	shares_granted	integer	t	
compensation_equity	8	shares_vested	integer	f	0
compensation_equity	9	shares_exercised	integer	f	0
compensation_equity	10	shares_forfeited	integer	f	0
compensation_equity	11	exercise_price	numeric(12,4)	f	
compensation_equity	12	grant_price	numeric(12,4)	f	
compensation_equity	13	currency	character varying(3)	f	'USD'::character varying
compensation_equity	14	vesting_type	vesting_type	t	
compensation_equity	15	vesting_start_date	date	t	
compensation_equity	16	vesting_cliff_months	integer	f	
compensation_equity	17	vesting_period_months	integer	f	
compensation_equity	18	vesting_schedule	jsonb	f	
compensation_equity	19	performance_conditions	jsonb	f	
compensation_equity	20	expiration_date	date	f	
compensation_equity	21	status	character varying(50)	f	'active'::character varying
compensation_equity	22	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_equity	23	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_equity	24	created_by	uuid	f	
compensation_equity	25	equity_id	text	f	
compensation_equity	26	equity_type	text	t	
compensation_equity	27	total_shares	integer	f	
compensation_equity	28	strike_price	numeric(18,4)	f	
compensation_equity	29	fair_market_value	numeric(18,4)	f	
compensation_premiums	1	id	uuid	t	gen_random_uuid()
compensation_premiums	2	tenant_id	uuid	t	
compensation_premiums	3	employee_id	uuid	t	
compensation_premiums	4	premium_type	premium_type	t	
compensation_premiums	5	premium_name	character varying(255)	f	
compensation_premiums	6	effective_from	date	t	
compensation_premiums	7	effective_to	date	f	
compensation_premiums	8	calculation_method	character varying(50)	f	
compensation_premiums	9	premium_amount	numeric(12,2)	f	
compensation_premiums	10	premium_percentage	numeric(5,2)	f	
compensation_premiums	11	currency	character varying(3)	f	'USD'::character varying
compensation_premiums	12	conditions	jsonb	f	
compensation_premiums	13	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_premiums	14	created_by	uuid	f	
compensation_premiums	15	premium_id	text	f	
compensation_premiums	16	rate_multiplier	numeric(18,4)	f	
compensation_premiums	17	amount	numeric(18,4)	f	
compensation_premiums	18	eligibility_rules	jsonb	f	
compensation_premiums	19	status	text	f	
